Name of Property,Property Type,Bedrooms,Bathrooms,Amenities,Price,Possession Date,Appreciation per year,Parking,Nearby,City,Location,Landmark,Launch Date,Builder Name,Furnishing status,Total Area,Total Towers,Total Floors,Sizes (sq.ft),Price per sq.ft,Balcony,Extra rooms,Super Area (sq.ft),Carpet Area (sq.ft),Age of Property,Facing,Loan Availability,Total Lifts,Pantry,View,Fitting type,Air conditioning,Clubhouse Amenities,Project Description
City Heights Apartment,Apartment,2BHK,2,Swimming pool clubhouse play area,40L-50L,Ready to move,8%,Open 1,Delhi Public School Max Hospital Jubilee Junction,Mohali,Sector 67 Mohali,CP67 Mall,31st Oct 2020,Shobha Realty,Fully furnished,5 acres,4,12,1200,4500,2.0,Store room,1500.0,1200,1 year,North East,Yes,2,No,Park view,Jaguar washroom fittings LG Airconditioner,Split AC,Billiards table rooftop cafe family restaurant guest house mini theatre,"Luxurious flat in Sector 67 Mohali near Chandigarh with proximity to CP67 Mall and Jubilee Junction This Apartment is designed to offer a luxurious and comfortable lifestyle with 2BHK and 2 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Swimming pool clubhouse play area, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Jaguar washroom fittings LG Airconditioner for added elegance. With an expected appreciation of 8% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Open 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Billiards table rooftop cafe family restaurant guest house mini theatre. With a carpet area of 1200 sq. ft., this property is perfect for those seeking a premium lifestyle in North East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Royal Villas,Villa,4BHK,3,Basketball court cycling path swimming pool,1.2Cr-1.5Cr,12th Jan 2026,10%,Indoor 2,HP Petrol Pump Fortis Hospital Jubilee Junction,Mohali,Sector 117 Mohali,Delhi Public School,11th Jan 2024,Emaar,Semi furnished,10 acres,25,2,3000,5000,3.0,Pooja room,3500.0,3000,Under construction,North,Yes,1,No,Road view,Bajaj Geysers,Window AC,Indoor badminton court sports bar ballroom rooftop cafe guest house,"Luxurious villas in Sector 117 Mohali offering serene green views with modern clubhouse This Villa is designed to offer a luxurious and comfortable lifestyle with 4BHK and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Basketball court cycling path swimming pool, making it an excellent choice for families and investors alike. The property boasts a stunning Road view and features high-quality Bajaj Geysers for added elegance. With an expected appreciation of 10% per year, it is a great investment opportunity. The project is available for possession by 12th Jan 2026 and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Indoor badminton court sports bar ballroom rooftop cafe guest house. With a carpet area of 3000 sq. ft., this property is perfect for those seeking a premium lifestyle in North facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Skyline Penthouse,Penthouse,5BHK,4,Infinity pool private lift jogging track,5Cr-6Cr,Ready to move,15%,Indoor 1,Plaksha University Fortis Hospital HP Petrol Pump,Mohali,Sector 81 Mohali,Opposite District Court,15th Aug 2023,DLF,Fully furnished,3 acres,1,25,4500,8000,4.0,Servant room,5000.0,4500,6 months,South East,Yes,3,No,Lake view,Jaguar washroom fittings LG Airconditioner,Centralised AC,Creche for kids mini theatre rooftop cafe family restaurant,"Located in Sector 81 Mohali with panoramic city views This Penthouse is designed to offer a luxurious and comfortable lifestyle with 5BHK and 4 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Infinity pool private lift jogging track, making it an excellent choice for families and investors alike. The property boasts a stunning Lake view and features high-quality Jaguar washroom fittings LG Airconditioner for added elegance. With an expected appreciation of 15% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Creche for kids mini theatre rooftop cafe family restaurant. With a carpet area of 4500 sq. ft., this property is perfect for those seeking a premium lifestyle in South East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Downtown Business Hub,SOHO,,2,Power backup high-speed internet dedicated parking,60L-80L,1st Sep 2024,12%,Indoor 1,Max Hospital Delhi Public School Jubilee Junction,Mohali,Phase 8B Mohali Industrial Area,Max Hospital,31st Oct 2022,Dmaac,Raw,15 acres,5,8,800,5000,,,900.0,800,Under construction,South,Yes,3,Yes,Road view,,,Bowling ballroom guest house rooftop cafe meeting room,"Premium SOHO units in Phase 8B Mohali Industrial Area This SOHO is designed to offer a luxurious and comfortable lifestyle with nan and 2 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Power backup high-speed internet dedicated parking, making it an excellent choice for families and investors alike. The property boasts a stunning Road view and features high-quality nan for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by 1st Sep 2024 and includes Indoor 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Bowling ballroom guest house rooftop cafe meeting room. With a carpet area of 800 sq. ft., this property is perfect for those seeking a premium lifestyle in South facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Tranquil Farmhouse,Farmhouse,4BHK,3,Private garden swimming pool open terrace,3.5Cr-4Cr,31st Dec 2025,20%,Open 3,Chandigarh University Jubilee Junction North Country Mall,Mohali,Kharar Mohali,Opposite Kharar Bus Stand,15th Mar 2023,SBP Builders,Semi furnished,25 acres,12,1,6000,7000,3.0,Pooja room,7000.0,6000,Under construction,North East,Yes,,No,Lake view,Jaguar washroom fittings Bajaj Geysers,Window AC,Table tennis table billiards table mini theatre ballroom guest house,"Exclusive farmhouse in Kharar Mohali offering unmatched luxury and privacy This Farmhouse is designed to offer a luxurious and comfortable lifestyle with 4BHK and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private garden swimming pool open terrace, making it an excellent choice for families and investors alike. The property boasts a stunning Lake view and features high-quality Jaguar washroom fittings Bajaj Geysers for added elegance. With an expected appreciation of 20% per year, it is a great investment opportunity. The project is available for possession by 31st Dec 2025 and includes Open 3 parking spaces. Residents will also enjoy access to clubhouse facilities like Table tennis table billiards table mini theatre ballroom guest house. With a carpet area of 6000 sq. ft., this property is perfect for those seeking a premium lifestyle in North East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Green Acres Residency,Apartment,3BHK,3,Cycling path kids play area jogging track,55L-65L,Ready to move,10%,Open 2,Fortis Hospital Manav Mangal School Jubilee Junction,Mohali,Sector 104 Mohali,Delhi Public School,11th Jan 2023,Shobha Realty,Semi furnished,8 acres,6,10,1500,4500,2.0,Store room,1700.0,1500,1 year,North,Yes,2,No,Park view,Jaguar washroom fittings,Split AC,Creche for kids family restaurant rooftop cafe guest house,"Luxurious apartments in Sector 104 Mohali near Fortis Hospital This Apartment is designed to offer a luxurious and comfortable lifestyle with 3BHK and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Cycling path kids play area jogging track, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Jaguar washroom fittings for added elegance. With an expected appreciation of 10% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Open 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Creche for kids family restaurant rooftop cafe guest house. With a carpet area of 1500 sq. ft., this property is perfect for those seeking a premium lifestyle in North facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Golden Tower Office,Office,,2,High-speed internet conference rooms power backup,1Cr-1.4Cr,15th Aug 2024,15%,Indoor 1,IT Park Chandigarh Jubilee Junction Max Hospital,Chandigarh,IT Park Chandigarh,Delhi Public School,15th Nov 2021,Emaar,Raw,20 acres,10,15,1200,6000,,,1300.0,1200,Under construction,North,Yes,3,Yes,Road view,,,Meeting room mini theatre rooftop cafe billiards table,"Premium office tower in Chandigarh IT park with ample parking This Office is designed to offer a luxurious and comfortable lifestyle with nan and 2 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as High-speed internet conference rooms power backup, making it an excellent choice for families and investors alike. The property boasts a stunning Road view and features high-quality nan for added elegance. With an expected appreciation of 15% per year, it is a great investment opportunity. The project is available for possession by 15th Aug 2024 and includes Indoor 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Meeting room mini theatre rooftop cafe billiards table. With a carpet area of 1200 sq. ft., this property is perfect for those seeking a premium lifestyle in North facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Silver Valley Villas,Villa,3BHK,3,Jogging path swimming pool private lawn,1.2Cr-1.5Cr,31st Aug 2025,12%,Indoor 1,Delhi Public School North Country Mall Fortis Hospital,Mohali,Sector 125 Mohali,CP67 Mall,31st Jan 2022,Dmaac,Fully furnished,15 acres,20,3,2500,6000,3.0,Pooja room,3000.0,2500,Under construction,North East,Yes,1,No,Park view,Bajaj Geysers Jaguar washroom fittings,Window AC,Table tennis indoor badminton court rooftop cafe guest house,"Luxury villas in Sector 125 Mohali perfect for families This Villa is designed to offer a luxurious and comfortable lifestyle with 3BHK and 3 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Jogging path swimming pool private lawn, making it an excellent choice for families and investors alike. The property boasts a stunning Park view and features high-quality Bajaj Geysers Jaguar washroom fittings for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by 31st Aug 2025 and includes Indoor 1 parking spaces. Residents will also enjoy access to clubhouse facilities like Table tennis indoor badminton court rooftop cafe guest house. With a carpet area of 2500 sq. ft., this property is perfect for those seeking a premium lifestyle in North East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Highland Farmhouse,Farmhouse,5BHK,4,Private pool open terrace private cinema,4Cr-5Cr,Ready to move,18%,Open 2,Chandigarh Airport Jubilee Junction Max Hospital,Mohali,Zirakpur Mohali,Plaksha University,15th Oct 2020,Emaar,Semi furnished,30 acres,8,1,7000,8000,4.0,Servant room,7500.0,7000,1 year,South East,Yes,,No,Lake view,Bajaj Geysers,Centralised AC,Billiards table rooftop cafe bowling ballroom family restaurant,"Located in Zirakpur Mohali with serene surroundings This Farmhouse is designed to offer a luxurious and comfortable lifestyle with 5BHK and 4 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as Private pool open terrace private cinema, making it an excellent choice for families and investors alike. The property boasts a stunning Lake view and features high-quality Bajaj Geysers for added elegance. With an expected appreciation of 18% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Open 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Billiards table rooftop cafe bowling ballroom family restaurant. With a carpet area of 7000 sq. ft., this property is perfect for those seeking a premium lifestyle in South East facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
Elegant Arcade,Mall Showroom,,1,High-speed elevators power backup CCTV,80L-1Cr,Ready to move,12%,Indoor 2,Max Hospital ISBT Sector 43 HP Petrol Pump,Chandigarh,Sector 35 Chandigarh,Opposite Hotel Taj,11th Feb 2020,DLF,Raw,12 acres,5,3,1000,7000,,,1100.0,1000,3 years,North,Yes,2,No,Road view,,,Rooftop cafe billiards table bowling indoor games,"Premium showroom spaces in Chandigarh Sector 35 with heavy footfall This Mall Showroom is designed to offer a luxurious and comfortable lifestyle with nan and 1 bathrooms, ensuring ample space for residents. Located in a prime area, it provides modern amenities such as High-speed elevators power backup CCTV, making it an excellent choice for families and investors alike. The property boasts a stunning Road view and features high-quality nan for added elegance. With an expected appreciation of 12% per year, it is a great investment opportunity. The project is available for possession by Ready to move and includes Indoor 2 parking spaces. Residents will also enjoy access to clubhouse facilities like Rooftop cafe billiards table bowling indoor games. With a carpet area of 1000 sq. ft., this property is perfect for those seeking a premium lifestyle in North facing direction. Additionally, it offers Yes loan availability, making it easier to own your dream home."
